period,province,district,data_type,count
2018-01-01,Central,Chibombo,Clinical,26
2018-01-01,Central,Chibombo,Confirmed,1883
2018-01-01,Central,Chibombo,Tested,8154
2018-01-01,Central,Chisamba,Confirmed,2176
2018-01-01,Central,Chisamba,Tested,7714
2018-01-01,Central,Chitambo,Clinical,33
2018-01-01,Central,Chitambo,Confirmed,5966
2018-01-01,Central,Chitambo,Tested,3963
2018-01-01,Central,Itezhi-tezhi,Confirmed,883
2018-01-01,Central,Itezhi-tezhi,Confirmed_Passive_CHW,890
2018-01-01,Central,Itezhi-tezhi,Tested,4970
2018-01-01,Central,Itezhi-tezhi,Tested_Passive_CHW,2688
2018-01-01,Central,Kabwe,Clinical,32
2018-01-01,Central,Kabwe,Confirmed,3573
2018-01-01,Central,Kabwe,Tested,13172
2018-01-01,Central,Kapiri-Mposhi,Clinical,503
2018-01-01,Central,Kapiri-Mposhi,Confirmed,21367
2018-01-01,Central,Kapiri-Mposhi,Tested,17927
2018-01-01,Central,Luano,Confirmed,2994
2018-01-01,Central,Luano,Tested,6406
2018-01-01,Central,Mkushi,Clinical,66
2018-01-01,Central,Mkushi,Confirmed,7365
2018-01-01,Central,Mkushi,Tested,21
2018-01-01,Central,Mumbwa,Clinical,87
2018-01-01,Central,Mumbwa,Confirmed,556
2018-01-01,Central,Mumbwa,Confirmed_Passive_CHW,855
2018-01-01,Central,Mumbwa,Tested,4875
2018-01-01,Central,Mumbwa,Tested_Passive_CHW,3149
2018-01-01,Central,Ngabwe,Confirmed,1077
2018-01-01,Central,Ngabwe,Tested,3323
2018-01-01,Central,Serenje,Clinical,30
2018-01-01,Central,Serenje,Confirmed,8917
2018-01-01,Central,Serenje,Tested,11763
2018-01-01,Central,Shibuyunji,Clinical,32
2018-01-01,Central,Shibuyunji,Confirmed,34
2018-01-01,Central,Shibuyunji,Confirmed_Passive_CHW,6
2018-01-01,Central,Shibuyunji,Tested,486
2018-01-01,Central,Shibuyunji,Tested_Passive_CHW,93
2018-01-01,Copperbelt,Chililabombwe,Clinical,94
2018-01-01,Copperbelt,Chililabombwe,Confirmed,3528
2018-01-01,Copperbelt,Chingola,Clinical,975
2018-01-01,Copperbelt,Chingola,Confirmed,9172
2018-01-01,Copperbelt,Chingola,Tested,247
2018-01-01,Copperbelt,Kalulushi,Clinical,69
2018-01-01,Copperbelt,Kalulushi,Confirmed,10147
2018-01-01,Copperbelt,Kalulushi,Tested,16689
2018-01-01,Copperbelt,Kitwe,Clinical,3120
2018-01-01,Copperbelt,Kitwe,Confirmed,14728
2018-01-01,Copperbelt,Kitwe,Tested,20444
2018-01-01,Copperbelt,Luanshya,Clinical,316
2018-01-01,Copperbelt,Luanshya,Confirmed,8715
2018-01-01,Copperbelt,Luanshya,Tested,8352
2018-01-01,Copperbelt,Lufwanyama,Clinical,9
2018-01-01,Copperbelt,Lufwanyama,Confirmed,14037
2018-01-01,Copperbelt,Lufwanyama,Tested,4110
2018-01-01,Copperbelt,Masaiti,Clinical,2203
2018-01-01,Copperbelt,Masaiti,Confirmed,10153
2018-01-01,Copperbelt,Masaiti,Tested,1320
2018-01-01,Copperbelt,Mpongwe,Clinical,2648
2018-01-01,Copperbelt,Mpongwe,Confirmed,11120
2018-01-01,Copperbelt,Mufulira,Clinical,756
2018-01-01,Copperbelt,Mufulira,Confirmed,6259
2018-01-01,Copperbelt,Ndola,Clinical,426
2018-01-01,Copperbelt,Ndola,Confirmed,12495
2018-01-01,Copperbelt,Ndola,Tested,1248
2018-01-01,Eastern,Chadiza,Clinical,88
2018-01-01,Eastern,Chadiza,Confirmed,3897
2018-01-01,Eastern,Chadiza,Tested,8200
2018-01-01,Eastern,Chasefu,Clinical,354
2018-01-01,Eastern,Chasefu,Confirmed,2580
2018-01-01,Eastern,Chasefu,Tested,8954
2018-01-01,Eastern,Chipangali,Confirmed,6283
2018-01-01,Eastern,Chipangali,Tested,21452
2018-01-01,Eastern,Chipata,Clinical,414
2018-01-01,Eastern,Chipata,Confirmed,4049
2018-01-01,Eastern,Chipata,Tested,20397
2018-01-01,Eastern,Kasenengwa,Clinical,329
2018-01-01,Eastern,Kasenengwa,Confirmed,969
2018-01-01,Eastern,Kasenengwa,Tested,9343
2018-01-01,Eastern,Katete,Clinical,28
2018-01-01,Eastern,Katete,Confirmed,3101
2018-01-01,Eastern,Katete,Tested,18072
2018-01-01,Eastern,Lumezi,Clinical,19
2018-01-01,Eastern,Lumezi,Confirmed,6951
2018-01-01,Eastern,Lumezi,Tested,12708
2018-01-01,Eastern,Lundazi,Clinical,38
2018-01-01,Eastern,Lundazi,Confirmed,4163
2018-01-01,Eastern,Lundazi,Tested,12303
2018-01-01,Eastern,Lusangazi,Clinical,58
2018-01-01,Eastern,Lusangazi,Confirmed,2641
2018-01-01,Eastern,Lusangazi,Tested,6526
2018-01-01,Eastern,Mambwe,Confirmed,4306
2018-01-01,Eastern,Mambwe,Tested,10964
2018-01-01,Eastern,Nyimba,Confirmed,2981
2018-01-01,Eastern,Nyimba,Tested,11141
2018-01-01,Eastern,Petauke,Clinical,20
2018-01-01,Eastern,Petauke,Confirmed,2535
2018-01-01,Eastern,Petauke,Confirmed_Passive_CHW,0
2018-01-01,Eastern,Petauke,Tested,13232
2018-01-01,Eastern,Petauke,Tested_Passive_CHW,0
2018-01-01,Eastern,Sinda,Clinical,1
2018-01-01,Eastern,Sinda,Confirmed,2077
2018-01-01,Eastern,Sinda,Tested,11524
2018-01-01,Eastern,Vubwi,Confirmed,4852
2018-01-01,Eastern,Vubwi,Tested,7455
2018-01-01,Luapula,Chembe,Confirmed,3367
2018-01-01,Luapula,Chembe,Tested,5242
2018-01-01,Luapula,Chienge,Clinical,430
2018-01-01,Luapula,Chienge,Confirmed,2412
2018-01-01,Luapula,Chienge,Tested,4440
2018-01-01,Luapula,Chifunabuli,Clinical,481
2018-01-01,Luapula,Chifunabuli,Confirmed,4146
2018-01-01,Luapula,Chifunabuli,Tested,8008
2018-01-01,Luapula,Chipili,Clinical,10
2018-01-01,Luapula,Chipili,Confirmed,2689
2018-01-01,Luapula,Chipili,Tested,4412
2018-01-01,Luapula,Kawambwa,Clinical,50
2018-01-01,Luapula,Kawambwa,Confirmed,2510
2018-01-01,Luapula,Kawambwa,Tested,6832
2018-01-01,Luapula,Lunga,Clinical,1
2018-01-01,Luapula,Lunga,Confirmed,1324
2018-01-01,Luapula,Lunga,Tested,2726
2018-01-01,Luapula,Mansa,Clinical,4959
2018-01-01,Luapula,Mansa,Confirmed,13165
2018-01-01,Luapula,Mansa,Tested,17053
2018-01-01,Luapula,Milenge,Clinical,94
2018-01-01,Luapula,Milenge,Confirmed,4729
2018-01-01,Luapula,Milenge,Tested,5518
2018-01-01,Luapula,Mwansabombwe,Clinical,33
2018-01-01,Luapula,Mwansabombwe,Confirmed,1258
2018-01-01,Luapula,Mwansabombwe,Tested,1651
2018-01-01,Luapula,Mwense,Clinical,9
2018-01-01,Luapula,Mwense,Confirmed,4176
2018-01-01,Luapula,Mwense,Tested,9161
2018-01-01,Luapula,Nchelenge,Clinical,19
