period,province,district,Clinical,Confirmed,Tested,Confirmed_Passive_CHW,Tested_Passive_CHW
2018-01-01,Central,Chibombo,26,1883,8154,NA,NA
2018-01-01,Central,Chisamba,NA,2176,7714,NA,NA
2018-01-01,Central,Chitambo,33,5966,3963,NA,NA
2018-01-01,Central,Itezhi-tezhi,NA,883,4970,890,2688
2018-01-01,Central,Kabwe,32,3573,13172,NA,NA
2018-01-01,Central,Kapiri-Mposhi,503,21367,17927,NA,NA
2018-01-01,Central,Luano,NA,2994,6406,NA,NA
2018-01-01,Central,Mkushi,66,7365,21,NA,NA
2018-01-01,Central,Mumbwa,87,556,4875,855,3149
2018-01-01,Central,Ngabwe,NA,1077,3323,NA,NA
2018-01-01,Central,Serenje,30,8917,11763,NA,NA
2018-01-01,Central,Shibuyunji,32,34,486,6,93
2018-01-01,Copperbelt,Chililabombwe,94,3528,NA,NA,NA
2018-01-01,Copperbelt,Chingola,975,9172,247,NA,NA
2018-01-01,Copperbelt,Kalulushi,69,10147,16689,NA,NA
2018-01-01,Copperbelt,Kitwe,3120,14728,20444,NA,NA
2018-01-01,Copperbelt,Luanshya,316,8715,8352,NA,NA
2018-01-01,Copperbelt,Lufwanyama,9,14037,4110,NA,NA
2018-01-01,Copperbelt,Masaiti,2203,10153,1320,NA,NA
2018-01-01,Copperbelt,Mpongwe,2648,11120,NA,NA,NA
2018-01-01,Copperbelt,Mufulira,756,6259,NA,NA,NA
2018-01-01,Copperbelt,Ndola,426,12495,1248,NA,NA
2018-01-01,Eastern,Chadiza,88,3897,8200,NA,NA
2018-01-01,Eastern,Chasefu,354,2580,8954,NA,NA
2018-01-01,Eastern,Chipangali,NA,6283,21452,NA,NA
2018-01-01,Eastern,Chipata,414,4049,20397,NA,NA
2018-01-01,Eastern,Kasenengwa,329,969,9343,NA,NA
2018-01-01,Eastern,Katete,28,3101,18072,NA,NA
2018-01-01,Eastern,Lumezi,19,6951,12708,NA,NA
2018-01-01,Eastern,Lundazi,38,4163,12303,NA,NA
2018-01-01,Eastern,Lusangazi,58,2641,6526,NA,NA
2018-01-01,Eastern,Mambwe,NA,4306,10964,NA,NA
2018-01-01,Eastern,Nyimba,NA,2981,11141,NA,NA
2018-01-01,Eastern,Petauke,20,2535,13232,0,0
2018-01-01,Eastern,Sinda,1,2077,11524,NA,NA
2018-01-01,Eastern,Vubwi,NA,4852,7455,NA,NA
2018-01-01,Luapula,Chembe,NA,3367,5242,NA,NA
2018-01-01,Luapula,Chienge,430,2412,4440,NA,NA
2018-01-01,Luapula,Chifunabuli,481,4146,8008,NA,NA
2018-01-01,Luapula,Chipili,10,2689,4412,NA,NA
2018-01-01,Luapula,Kawambwa,50,2510,6832,NA,NA
2018-01-01,Luapula,Lunga,1,1324,2726,NA,NA
2018-01-01,Luapula,Mansa,4959,13165,17053,NA,NA
2018-01-01,Luapula,Milenge,94,4729,5518,NA,NA
2018-01-01,Luapula,Mwansabombwe,33,1258,1651,NA,NA
2018-01-01,Luapula,Mwense,9,4176,9161,NA,NA
2018-01-01,Luapula,Nchelenge,19,3916,9269,NA,NA
2018-01-01,Luapula,Samfya,749,5498,11341,NA,NA
2018-01-01,Lusaka,Chilanga,66,150,1755,NA,NA
2018-01-01,Lusaka,Chirundu,NA,197,1426,55,403
2018-01-01,Lusaka,Chongwe,8,423,4222,NA,NA
2018-01-01,Lusaka,Kafue,111,288,2718,48,174
2018-01-01,Lusaka,Luangwa,137,770,3253,NA,NA
2018-01-01,Lusaka,Lusaka,475,1239,11369,NA,NA
2018-01-01,Lusaka,Rufunsa,50,2885,6585,NA,NA
2018-01-01,Muchinga,Chama,252,5971,9972,NA,NA
2018-01-01,Muchinga,Chinsali,36,5060,6896,NA,NA
2018-01-01,Muchinga,Isoka,1,4324,10367,NA,NA
2018-01-01,Muchinga,Kanchibiya,153,5203,8495,NA,NA
2018-01-01,Muchinga,Lavushimanda,118,3025,3540,NA,NA
2018-01-01,Muchinga,Mafinga,5,4466,5357,NA,NA
2018-01-01,Muchinga,Mpika,162,6612,9883,NA,NA
2018-01-01,Muchinga,Nakonde,NA,1415,3716,NA,NA
2018-01-01,Muchinga,Shiwang'andu,10,4453,6894,NA,NA
2018-01-01,Northern,Chilubi,50,2933,3120,NA,NA
2018-01-01,Northern,Kaputa,NA,1741,284,NA,NA
2018-01-01,Northern,Kasama,181,15980,12191,NA,NA
2018-01-01,Northern,Lunte,NA,2159,947,NA,NA
2018-01-01,Northern,Lupososhi,6,1843,2826,NA,NA
2018-01-01,Northern,Luwingu,113,3499,5933,NA,NA
2018-01-01,Northern,Mbala,3,3729,5206,NA,NA
2018-01-01,Northern,Mporokoso,22,1180,3012,NA,NA
2018-01-01,Northern,Mpulungu,12,3894,4141,NA,NA
2018-01-01,Northern,Mungwi,443,7744,10600,NA,NA
2018-01-01,Northern,Nsama,15,956,1778,NA,NA
2018-01-01,Northern,Senga,NA,6134,NA,NA,NA
2018-01-01,Northwestern,Chavuma,87,3414,1011,NA,NA
2018-01-01,Northwestern,Ikelenge,2,5281,6105,NA,NA
2018-01-01,Northwestern,Kabompo,65,5905,11399,NA,NA
2018-01-01,Northwestern,Kalumbila,1089,17471,11382,NA,NA
2018-01-01,Northwestern,Kasempa,29,10539,1195,NA,NA
2018-01-01,Northwestern,Manyinga,145,4401,5883,NA,NA
2018-01-01,Northwestern,Mufumbwe,74,6018,10234,NA,NA
2018-01-01,Northwestern,Mushindamo,870,5045,6849,NA,NA
2018-01-01,Northwestern,Mwinilunga,546,8183,13339,NA,NA
2018-01-01,Northwestern,Solwezi,1429,17462,4295,NA,NA
2018-01-01,Northwestern,Zambezi,49,10017,1937,NA,NA
2018-01-01,Southern,Chikankata,NA,354,1258,67,443
2018-01-01,Southern,Choma,1,129,3066,34,2485
2018-01-01,Southern,Gwembe,NA,1580,3345,1037,2406
2018-01-01,Southern,Kalomo,6,141,2713,211,3089
2018-01-01,Southern,Kazungula,NA,87,1397,142,1993
2018-01-01,Southern,Livingstone,NA,67,849,2,322
2018-01-01,Southern,Mazabuka,36,138,1187,16,571
2018-01-01,Southern,Monze,NA,87,359,18,863
2018-01-01,Southern,Namwala,NA,45,1848,12,956
2018-01-01,Southern,Pemba,NA,69,1013,31,724
2018-01-01,Southern,Siavonga,NA,230,1619,214,1124
2018-01-01,Southern,Sinazongwe,26,3828,6853,3479,6036
2018-01-01,Southern,Zimba,NA,137,1172,83,924
2018-01-01,Western,Kalabo,657,9994,NA,3648,6267
2018-01-01,Western,Kaoma,184,11711,NA,7983,10789
2018-01-01,Western,Limulunga,1546,6606,NA,NA,NA
2018-01-01,Western,Luampa,58,7255,9496,3084,4227
2018-01-01,Western,Lukulu,3,12289,NA,NA,NA
2018-01-01,Western,Mitete,122,3063,NA,929,1247
2018-01-01,Western,Mongu,646,14454,NA,NA,NA
2018-01-01,Western,Mulobezi,NA,741,NA,563,1639
2018-01-01,Western,Mwandi,55,223,NA,126,324
2018-01-01,Western,Nalolo,232,3819,NA,2,4
2018-01-01,Western,Nkeyema,348,4637,NA,3045,4588
2018-01-01,Western,Senanga,453,15825,23300,NA,NA
2018-01-01,Western,Sesheke,2,1023,1320,859,1871
2018-01-01,Western,Shang'ombo,NA,3259,NA,2993,5393
2018-01-01,Western,Sikongo,41,4311,NA,1946,3385
2018-01-01,Western,Sioma,NA,5818,256,2103,4050
2018-01-01,NA,NA,NA,NA,NA,63,111
2018-02-01,Central,Chibombo,52,2145,7822,NA,NA
2018-02-01,Central,Chisamba,NA,1730,6567,NA,NA
2018-02-01,Central,Chitambo,14,4170,3423,NA,NA
2018-02-01,Central,Itezhi-tezhi,NA,626,3590,629,1910
2018-02-01,Central,Kabwe,80,3224,12064,NA,NA
2018-02-01,Central,Kapiri-Mposhi,291,22752,26839,NA,NA
2018-02-01,Central,Luano,NA,2326,5998,NA,NA
2018-02-01,Central,Mkushi,133,6823,9410,NA,NA
2018-02-01,Central,Mumbwa,NA,671,4623,762,2944
2018-02-01,Central,Ngabwe,NA,667,2707,NA,NA
2018-02-01,Central,Serenje,8,6042,8350,NA,NA
2018-02-01,Central,Shibuyunji,27,242,655,7,116
2018-02-01,Copperbelt,Chililabombwe,22,4035,NA,NA,NA
2018-02-01,Copperbelt,Chingola,1554,7772,214,NA,NA
2018-02-01,Copperbelt,Kalulushi,NA,7134,14284,NA,NA
2018-02-01,Copperbelt,Kitwe,2852,15714,16923,NA,NA
2018-02-01,Copperbelt,Luanshya,416,8741,7036,NA,NA
2018-02-01,Copperbelt,Lufwanyama,681,13873,3884,NA,NA
2018-02-01,Copperbelt,Masaiti,391,13641,759,NA,NA
2018-02-01,Copperbelt,Mpongwe,1438,12908,NA,NA,NA
2018-02-01,Copperbelt,Mufulira,804,4286,NA,NA,NA
2018-02-01,Copperbelt,Ndola,1037,7474,108,NA,NA
2018-02-01,Eastern,Chadiza,2,4972,10119,NA,NA
2018-02-01,Eastern,Chasefu,280,3790,9082,NA,NA
2018-02-01,Eastern,Chipangali,NA,7146,18280,NA,NA
2018-02-01,Eastern,Chipata,88,6121,27846,NA,NA
2018-02-01,Eastern,Kasenengwa,1,2168,7283,NA,NA
2018-02-01,Eastern,Katete,NA,3680,16202,NA,NA
2018-02-01,Eastern,Lumezi,NA,7481,14318,NA,NA
2018-02-01,Eastern,Lundazi,NA,5357,14153,NA,NA
2018-02-01,Eastern,Lusangazi,345,2281,7328,NA,NA
2018-02-01,Eastern,Mambwe,NA,3934,11176,NA,NA
2018-02-01,Eastern,Nyimba,2,2775,9237,NA,NA
2018-02-01,Eastern,Petauke,7,2772,15414,0,0
2018-02-01,Eastern,Sinda,NA,2100,11122,NA,NA
2018-02-01,Eastern,Vubwi,107,4003,7251,NA,NA
2018-02-01,Luapula,Chembe,NA,3350,4013,NA,NA
2018-02-01,Luapula,Chienge,216,2787,4927,NA,NA
2018-02-01,Luapula,Chifunabuli,211,3103,8612,NA,NA
2018-02-01,Luapula,Chipili,10,1919,3870,NA,NA
2018-02-01,Luapula,Kawambwa,4,2204,5104,NA,NA
2018-02-01,Luapula,Lunga,NA,747,1378,NA,NA
2018-02-01,Luapula,Mansa,4743,13290,22235,NA,NA
2018-02-01,Luapula,Milenge,57,3291,3984,NA,NA
2018-02-01,Luapula,Mwansabombwe,21,1509,3352,NA,NA
2018-02-01,Luapula,Mwense,55,3705,8982,NA,NA
2018-02-01,Luapula,Nchelenge,16,5134,9911,NA,NA
2018-02-01,Luapula,Samfya,179,5205,10241,NA,NA
2018-02-01,Lusaka,Chilanga,7,164,1650,NA,NA
2018-02-01,Lusaka,Chirundu,5,88,1001,153,449
2018-02-01,Lusaka,Chongwe,15,464,4787,NA,NA
2018-02-01,Lusaka,Kafue,46,246,2292,41,205
2018-02-01,Lusaka,Luangwa,49,426,3360,NA,NA
2018-02-01,Lusaka,Lusaka,851,838,12015,NA,NA
2018-02-01,Lusaka,Rufunsa,67,2150,6695,NA,NA
2018-02-01,Muchinga,Chama,150,4978,10528,NA,NA
2018-02-01,Muchinga,Chinsali,90,4153,8344,NA,NA
2018-02-01,Muchinga,Isoka,NA,3626,9976,NA,NA
2018-02-01,Muchinga,Kanchibiya,128,5578,7427,NA,NA
2018-02-01,Muchinga,Lavushimanda,218,2184,3496,NA,NA
2018-02-01,Muchinga,Mafinga,NA,3005,4221,NA,NA
2018-02-01,Muchinga,Mpika,778,5813,10773,NA,NA
2018-02-01,Muchinga,Nakonde,16,834,4209,NA,NA
2018-02-01,Muchinga,Shiwang'andu,NA,3250,6680,NA,NA
2018-02-01,Northern,Chilubi,306,2969,3586,NA,NA
2018-02-01,Northern,Kaputa,3,1408,3361,NA,NA
2018-02-01,Northern,Kasama,54,9970,19075,NA,NA
2018-02-01,Northern,Lunte,NA,1522,1644,NA,NA
2018-02-01,Northern,Lupososhi,1,1141,1923,NA,NA
2018-02-01,Northern,Luwingu,2,3135,4204,NA,NA
2018-02-01,Northern,Mbala,8,2662,7159,NA,NA
2018-02-01,Northern,Mporokoso,12,817,984,NA,NA
2018-02-01,Northern,Mpulungu,8,1873,3345,NA,NA
2018-02-01,Northern,Mungwi,370,6576,13043,NA,NA
2018-02-01,Northern,Nsama,16,552,1031,NA,NA
2018-02-01,Northern,Senga,11,3446,6281,NA,NA
2018-02-01,Northwestern,Chavuma,459,4132,1513,NA,NA
2018-02-01,Northwestern,Ikelenge,NA,5447,8909,NA,NA
2018-02-01,Northwestern,Kabompo,NA,5226,10011,NA,NA
2018-02-01,Northwestern,Kalumbila,1407,8112,10085,NA,NA
2018-02-01,Northwestern,Kasempa,43,9794,NA,NA,NA
2018-02-01,Northwestern,Manyinga,205,4907,6056,NA,NA
2018-02-01,Northwestern,Mufumbwe,NA,5088,10989,NA,NA
2018-02-01,Northwestern,Mushindamo,429,4489,5574,NA,NA
2018-02-01,Northwestern,Mwinilunga,533,7608,15032,NA,NA
2018-02-01,Northwestern,Solwezi,870,15655,12086,NA,NA
2018-02-01,Northwestern,Zambezi,8,9536,4126,NA,NA
2018-02-01,Southern,Chikankata,NA,43,997,40,420
2018-02-01,Southern,Choma,NA,73,2668,25,1465
2018-02-01,Southern,Gwembe,12,706,2476,930,1945
2018-02-01,Southern,Kalomo,18,87,1984,130,2451
2018-02-01,Southern,Kazungula,15,39,931,105,1639
2018-02-01,Southern,Livingstone,3,28,672,1,274
2018-02-01,Southern,Mazabuka,1,49,1445,4,765
2018-02-01,Southern,Monze,11,70,1397,10,711
2018-02-01,Southern,Namwala,NA,74,1718,8,944
2018-02-01,Southern,Pemba,NA,67,1262,36,518
