"","period","province","district","count"
"1","2018-01-01","Central","Chibombo",1909
"2","2018-01-01","Central","Chisamba",2176
"3","2018-01-01","Central","Chitambo",5999
"4","2018-01-01","Central","Itezhi-tezhi",1773
"5","2018-01-01","Central","Kabwe",3605
"6","2018-01-01","Central","Kapiri-Mposhi",21870
"7","2018-01-01","Central","Luano",2994
"8","2018-01-01","Central","Mkushi",7431
"9","2018-01-01","Central","Mumbwa",1498
"10","2018-01-01","Central","Ngabwe",1077
"11","2018-01-01","Central","Serenje",8947
"12","2018-01-01","Central","Shibuyunji",72
"13","2018-01-01","Copperbelt","Chililabombwe",3622
"14","2018-01-01","Copperbelt","Chingola",10147
"15","2018-01-01","Copperbelt","Kalulushi",10216
"16","2018-01-01","Copperbelt","Kitwe",17848
"17","2018-01-01","Copperbelt","Luanshya",9031
"18","2018-01-01","Copperbelt","Lufwanyama",14046
"19","2018-01-01","Copperbelt","Masaiti",12356
"20","2018-01-01","Copperbelt","Mpongwe",13768
"21","2018-01-01","Copperbelt","Mufulira",7015
"22","2018-01-01","Copperbelt","Ndola",12921
"23","2018-01-01","Eastern","Chadiza",3985
"24","2018-01-01","Eastern","Chasefu",2934
"25","2018-01-01","Eastern","Chipangali",6283
"26","2018-01-01","Eastern","Chipata",4463
"27","2018-01-01","Eastern","Kasenengwa",1298
"28","2018-01-01","Eastern","Katete",3129
"29","2018-01-01","Eastern","Lumezi",6970
"30","2018-01-01","Eastern","Lundazi",4201
"31","2018-01-01","Eastern","Lusangazi",2699
"32","2018-01-01","Eastern","Mambwe",4306
"33","2018-01-01","Eastern","Nyimba",2981
"34","2018-01-01","Eastern","Petauke",2555
"35","2018-01-01","Eastern","Sinda",2078
"36","2018-01-01","Eastern","Vubwi",4852
"37","2018-01-01","Luapula","Chembe",3367
"38","2018-01-01","Luapula","Chienge",2842
"39","2018-01-01","Luapula","Chifunabuli",4627
"40","2018-01-01","Luapula","Chipili",2699
"41","2018-01-01","Luapula","Kawambwa",2560
"42","2018-01-01","Luapula","Lunga",1325
"43","2018-01-01","Luapula","Mansa",18124
"44","2018-01-01","Luapula","Milenge",4823
"45","2018-01-01","Luapula","Mwansabombwe",1291
"46","2018-01-01","Luapula","Mwense",4185
"47","2018-01-01","Luapula","Nchelenge",3935
"48","2018-01-01","Luapula","Samfya",6247
"49","2018-01-01","Lusaka","Chilanga",216
"50","2018-01-01","Lusaka","Chirundu",252
"51","2018-01-01","Lusaka","Chongwe",431
"52","2018-01-01","Lusaka","Kafue",447
"53","2018-01-01","Lusaka","Luangwa",907
"54","2018-01-01","Lusaka","Lusaka",1714
"55","2018-01-01","Lusaka","Rufunsa",2935
"56","2018-01-01","Muchinga","Chama",6223
"57","2018-01-01","Muchinga","Chinsali",5096
"58","2018-01-01","Muchinga","Isoka",4325
"59","2018-01-01","Muchinga","Kanchibiya",5356
"60","2018-01-01","Muchinga","Lavushimanda",3143
"61","2018-01-01","Muchinga","Mafinga",4471
"62","2018-01-01","Muchinga","Mpika",6774
"63","2018-01-01","Muchinga","Nakonde",1415
"64","2018-01-01","Muchinga","Shiwang'andu",4463
"65","2018-01-01","Northern","Chilubi",2983
"66","2018-01-01","Northern","Kaputa",1741
"67","2018-01-01","Northern","Kasama",16161
"68","2018-01-01","Northern","Lunte",2159
"69","2018-01-01","Northern","Lupososhi",1849
"70","2018-01-01","Northern","Luwingu",3612
"71","2018-01-01","Northern","Mbala",3732
"72","2018-01-01","Northern","Mporokoso",1202
"73","2018-01-01","Northern","Mpulungu",3906
"74","2018-01-01","Northern","Mungwi",8187
"75","2018-01-01","Northern","Nsama",971
"76","2018-01-01","Northern","Senga",6134
"77","2018-01-01","Northwestern","Chavuma",3501
"78","2018-01-01","Northwestern","Ikelenge",5283
"79","2018-01-01","Northwestern","Kabompo",5970
"80","2018-01-01","Northwestern","Kalumbila",18560
"81","2018-01-01","Northwestern","Kasempa",10568
"82","2018-01-01","Northwestern","Manyinga",4546
"83","2018-01-01","Northwestern","Mufumbwe",6092
"84","2018-01-01","Northwestern","Mushindamo",5915
"85","2018-01-01","Northwestern","Mwinilunga",8729
"86","2018-01-01","Northwestern","Solwezi",18891
"87","2018-01-01","Northwestern","Zambezi",10066
"88","2018-01-01","Southern","Chikankata",421
"89","2018-01-01","Southern","Choma",164
"90","2018-01-01","Southern","Gwembe",2617
"91","2018-01-01","Southern","Kalomo",358
"92","2018-01-01","Southern","Kazungula",229
"93","2018-01-01","Southern","Livingstone",69
"94","2018-01-01","Southern","Mazabuka",190
"95","2018-01-01","Southern","Monze",105
"96","2018-01-01","Southern","Namwala",57
"97","2018-01-01","Southern","Pemba",100
"98","2018-01-01","Southern","Siavonga",444
"99","2018-01-01","Southern","Sinazongwe",7333
"100","2018-01-01","Southern","Zimba",220
"101","2018-01-01","Western","Kalabo",14299
"102","2018-01-01","Western","Kaoma",19878
"103","2018-01-01","Western","Limulunga",8152
"104","2018-01-01","Western","Luampa",10397
"105","2018-01-01","Western","Lukulu",12292
"106","2018-01-01","Western","Mitete",4114
"107","2018-01-01","Western","Mongu",15100
"108","2018-01-01","Western","Mulobezi",1304
"109","2018-01-01","Western","Mwandi",404
"110","2018-01-01","Western","Nalolo",4053
"111","2018-01-01","Western","Nkeyema",8030
"112","2018-01-01","Western","Senanga",16278
"113","2018-01-01","Western","Sesheke",1884
"114","2018-01-01","Western","Shang'ombo",6252
"115","2018-01-01","Western","Sikongo",6298
"116","2018-01-01","Western","Sioma",7921
"117","2018-01-01",NA,NA,63
"118","2018-02-01","Central","Chibombo",2197
"119","2018-02-01","Central","Chisamba",1730
"120","2018-02-01","Central","Chitambo",4184
"121","2018-02-01","Central","Itezhi-tezhi",1255
"122","2018-02-01","Central","Kabwe",3304
"123","2018-02-01","Central","Kapiri-Mposhi",23043
"124","2018-02-01","Central","Luano",2326
"125","2018-02-01","Central","Mkushi",6956
"126","2018-02-01","Central","Mumbwa",1433
"127","2018-02-01","Central","Ngabwe",667
"128","2018-02-01","Central","Serenje",6050
"129","2018-02-01","Central","Shibuyunji",276
"130","2018-02-01","Copperbelt","Chililabombwe",4057
"131","2018-02-01","Copperbelt","Chingola",9326
"132","2018-02-01","Copperbelt","Kalulushi",7134
"133","2018-02-01","Copperbelt","Kitwe",18566
"134","2018-02-01","Copperbelt","Luanshya",9157
"135","2018-02-01","Copperbelt","Lufwanyama",14554
"136","2018-02-01","Copperbelt","Masaiti",14032
"137","2018-02-01","Copperbelt","Mpongwe",14346
"138","2018-02-01","Copperbelt","Mufulira",5090
"139","2018-02-01","Copperbelt","Ndola",8511
"140","2018-02-01","Eastern","Chadiza",4974
"141","2018-02-01","Eastern","Chasefu",4070
"142","2018-02-01","Eastern","Chipangali",7146
"143","2018-02-01","Eastern","Chipata",6209
"144","2018-02-01","Eastern","Kasenengwa",2169
"145","2018-02-01","Eastern","Katete",3680
"146","2018-02-01","Eastern","Lumezi",7481
"147","2018-02-01","Eastern","Lundazi",5357
"148","2018-02-01","Eastern","Lusangazi",2626
"149","2018-02-01","Eastern","Mambwe",3934
"150","2018-02-01","Eastern","Nyimba",2777
"151","2018-02-01","Eastern","Petauke",2779
"152","2018-02-01","Eastern","Sinda",2100
"153","2018-02-01","Eastern","Vubwi",4110
"154","2018-02-01","Luapula","Chembe",3350
"155","2018-02-01","Luapula","Chienge",3003
"156","2018-02-01","Luapula","Chifunabuli",3314
"157","2018-02-01","Luapula","Chipili",1929
"158","2018-02-01","Luapula","Kawambwa",2208
"159","2018-02-01","Luapula","Lunga",747
"160","2018-02-01","Luapula","Mansa",18033
"161","2018-02-01","Luapula","Milenge",3348
"162","2018-02-01","Luapula","Mwansabombwe",1530
"163","2018-02-01","Luapula","Mwense",3760
"164","2018-02-01","Luapula","Nchelenge",5150
"165","2018-02-01","Luapula","Samfya",5384
"166","2018-02-01","Lusaka","Chilanga",171
"167","2018-02-01","Lusaka","Chirundu",246
"168","2018-02-01","Lusaka","Chongwe",479
"169","2018-02-01","Lusaka","Kafue",333
"170","2018-02-01","Lusaka","Luangwa",475
"171","2018-02-01","Lusaka","Lusaka",1689
"172","2018-02-01","Lusaka","Rufunsa",2217
"173","2018-02-01","Muchinga","Chama",5128
"174","2018-02-01","Muchinga","Chinsali",4243
"175","2018-02-01","Muchinga","Isoka",3626
"176","2018-02-01","Muchinga","Kanchibiya",5706
"177","2018-02-01","Muchinga","Lavushimanda",2402
"178","2018-02-01","Muchinga","Mafinga",3005
"179","2018-02-01","Muchinga","Mpika",6591
"180","2018-02-01","Muchinga","Nakonde",850
"181","2018-02-01","Muchinga","Shiwang'andu",3250
"182","2018-02-01","Northern","Chilubi",3275
"183","2018-02-01","Northern","Kaputa",1411
"184","2018-02-01","Northern","Kasama",10024
"185","2018-02-01","Northern","Lunte",1522
"186","2018-02-01","Northern","Lupososhi",1142
"187","2018-02-01","Northern","Luwingu",3137
"188","2018-02-01","Northern","Mbala",2670
"189","2018-02-01","Northern","Mporokoso",829
"190","2018-02-01","Northern","Mpulungu",1881
"191","2018-02-01","Northern","Mungwi",6946
"192","2018-02-01","Northern","Nsama",568
"193","2018-02-01","Northern","Senga",3457
"194","2018-02-01","Northwestern","Chavuma",4591
"195","2018-02-01","Northwestern","Ikelenge",5447
"196","2018-02-01","Northwestern","Kabompo",5226
"197","2018-02-01","Northwestern","Kalumbila",9519
"198","2018-02-01","Northwestern","Kasempa",9837
"199","2018-02-01","Northwestern","Manyinga",5112
"200","2018-02-01","Northwestern","Mufumbwe",5088
"201","2018-02-01","Northwestern","Mushindamo",4918
"202","2018-02-01","Northwestern","Mwinilunga",8141
"203","2018-02-01","Northwestern","Solwezi",16525
"204","2018-02-01","Northwestern","Zambezi",9544
"205","2018-02-01","Southern","Chikankata",83
"206","2018-02-01","Southern","Choma",98
"207","2018-02-01","Southern","Gwembe",1648
"208","2018-02-01","Southern","Kalomo",235
"209","2018-02-01","Southern","Kazungula",159
"210","2018-02-01","Southern","Livingstone",32
"211","2018-02-01","Southern","Mazabuka",54
"212","2018-02-01","Southern","Monze",91
"213","2018-02-01","Southern","Namwala",82
"214","2018-02-01","Southern","Pemba",103
"215","2018-02-01","Southern","Siavonga",131
"216","2018-02-01","Southern","Sinazongwe",3613
"217","2018-02-01","Southern","Zimba",156
"218","2018-02-01","Western","Kalabo",13503
"219","2018-02-01","Western","Kaoma",15143
"220","2018-02-01","Western","Limulunga",5556
"221","2018-02-01","Western","Luampa",7546
"222","2018-02-01","Western","Lukulu",10802
"223","2018-02-01","Western","Mitete",2923
"224","2018-02-01","Western","Mongu",11891
"225","2018-02-01","Western","Mulobezi",2284
"226","2018-02-01","Western","Mwandi",318
"227","2018-02-01","Western","Nalolo",2946
"228","2018-02-01","Western","Nkeyema",5970
"229","2018-02-01","Western","Senanga",10792
"230","2018-02-01","Western","Sesheke",1486
"231","2018-02-01","Western","Shang'ombo",5862
"232","2018-02-01","Western","Sikongo",5971
"233","2018-02-01","Western","Sioma",3283
"234","2018-02-01",NA,NA,34
"235","2018-03-01","Central","Chibombo",2456
"236","2018-03-01","Central","Chisamba",3464
"237","2018-03-01","Central","Chitambo",4096
"238","2018-03-01","Central","Itezhi-tezhi",1239
"239","2018-03-01","Central","Kabwe",5963
"240","2018-03-01","Central","Kapiri-Mposhi",29860
"241","2018-03-01","Central","Luano",3495
"242","2018-03-01","Central","Mkushi",8327
"243","2018-03-01","Central","Mumbwa",1388
"244","2018-03-01","Central","Ngabwe",783
"245","2018-03-01","Central","Serenje",7200
"246","2018-03-01","Central","Shibuyunji",89
"247","2018-03-01","Copperbelt","Chililabombwe",3877
"248","2018-03-01","Copperbelt","Chingola",7303
"249","2018-03-01","Copperbelt","Kalulushi",6904
"250","2018-03-01","Copperbelt","Kitwe",17865
"251","2018-03-01","Copperbelt","Luanshya",10384
