,period,province,district,count
1,1/1/2018,Central,Chibombo,1909
2,1/1/2018,Central,Chisamba,2176
3,1/1/2018,Central,Chitambo,5999
4,1/1/2018,Central,Itezhi-tezhi,1773
5,1/1/2018,Central,Kabwe,3605
6,1/1/2018,Central,Kapiri-Mposhi,21870
7,1/1/2018,Central,Luano,2994
8,1/1/2018,Central,Mkushi,7431
9,1/1/2018,Central,Mumbwa,1498
10,1/1/2018,Central,Ngabwe,1077
11,1/1/2018,Central,Serenje,8947
12,1/1/2018,Central,Shibuyunji,72
13,1/1/2018,Copperbelt,Chililabombwe,3622
14,1/1/2018,Copperbelt,Chingola,10147
15,1/1/2018,Copperbelt,Kalulushi,10216
16,1/1/2018,Copperbelt,Kitwe,17848
17,1/1/2018,Copperbelt,Luanshya,9031
18,1/1/2018,Copperbelt,Lufwanyama,14046
19,1/1/2018,Copperbelt,Masaiti,12356
20,1/1/2018,Copperbelt,Mpongwe,13768
21,1/1/2018,Copperbelt,Mufulira,7015
22,1/1/2018,Copperbelt,Ndola,12921
23,1/1/2018,Eastern,Chadiza,3985
24,1/1/2018,Eastern,Chasefu,2934
25,1/1/2018,Eastern,Chipangali,6283
26,1/1/2018,Eastern,Chipata,4463
27,1/1/2018,Eastern,Kasenengwa,1298
28,1/1/2018,Eastern,Katete,3129
29,1/1/2018,Eastern,Lumezi,6970
30,1/1/2018,Eastern,Lundazi,4201
31,1/1/2018,Eastern,Lusangazi,2699
32,1/1/2018,Eastern,Mambwe,4306
33,1/1/2018,Eastern,Nyimba,2981
34,1/1/2018,Eastern,Petauke,2555
35,1/1/2018,Eastern,Sinda,2078
36,1/1/2018,Eastern,Vubwi,4852
37,1/1/2018,Luapula,Chembe,3367
38,1/1/2018,Luapula,Chienge,2842
39,1/1/2018,Luapula,Chifunabuli,4627
40,1/1/2018,Luapula,Chipili,2699
41,1/1/2018,Luapula,Kawambwa,2560
42,1/1/2018,Luapula,Lunga,1325
43,1/1/2018,Luapula,Mansa,18124
44,1/1/2018,Luapula,Milenge,4823
45,1/1/2018,Luapula,Mwansabombwe,1291
46,1/1/2018,Luapula,Mwense,4185
47,1/1/2018,Luapula,Nchelenge,3935
48,1/1/2018,Luapula,Samfya,6247
49,1/1/2018,Lusaka,Chilanga,216
50,1/1/2018,Lusaka,Chirundu,252
51,1/1/2018,Lusaka,Chongwe,431
52,1/1/2018,Lusaka,Kafue,447
53,1/1/2018,Lusaka,Luangwa,907
54,1/1/2018,Lusaka,Lusaka,1714
55,1/1/2018,Lusaka,Rufunsa,2935
56,1/1/2018,Muchinga,Chama,6223
57,1/1/2018,Muchinga,Chinsali,5096
58,1/1/2018,Muchinga,Isoka,4325
59,1/1/2018,Muchinga,Kanchibiya,5356
60,1/1/2018,Muchinga,Lavushimanda,3143
61,1/1/2018,Muchinga,Mafinga,4471
62,1/1/2018,Muchinga,Mpika,6774
63,1/1/2018,Muchinga,Nakonde,1415
64,1/1/2018,Muchinga,Shiwang'andu,4463
65,1/1/2018,Northern,Chilubi,2983
66,1/1/2018,Northern,Kaputa,1741
67,1/1/2018,Northern,Kasama,16161
68,1/1/2018,Northern,Lunte,2159
69,1/1/2018,Northern,Lupososhi,1849
70,1/1/2018,Northern,Luwingu,3612
71,1/1/2018,Northern,Mbala,3732
72,1/1/2018,Northern,Mporokoso,1202
73,1/1/2018,Northern,Mpulungu,3906
74,1/1/2018,Northern,Mungwi,8187
75,1/1/2018,Northern,Nsama,971
76,1/1/2018,Northern,Senga,6134
77,1/1/2018,Northwestern,Chavuma,3501
78,1/1/2018,Northwestern,Ikelenge,5283
79,1/1/2018,Northwestern,Kabompo,5970
80,1/1/2018,Northwestern,Kalumbila,18560
81,1/1/2018,Northwestern,Kasempa,10568
82,1/1/2018,Northwestern,Manyinga,4546
83,1/1/2018,Northwestern,Mufumbwe,6092
84,1/1/2018,Northwestern,Mushindamo,5915
85,1/1/2018,Northwestern,Mwinilunga,8729
86,1/1/2018,Northwestern,Solwezi,18891
87,1/1/2018,Northwestern,Zambezi,10066
88,1/1/2018,Southern,Chikankata,421
89,1/1/2018,Southern,Choma,164
90,1/1/2018,Southern,Gwembe,2617
91,1/1/2018,Southern,Kalomo,358
92,1/1/2018,Southern,Kazungula,229
93,1/1/2018,Southern,Livingstone,69
94,1/1/2018,Southern,Mazabuka,190
95,1/1/2018,Southern,Monze,105
96,1/1/2018,Southern,Namwala,57
97,1/1/2018,Southern,Pemba,100
98,1/1/2018,Southern,Siavonga,444
99,1/1/2018,Southern,Sinazongwe,7333
100,1/1/2018,Southern,Zimba,220
101,1/1/2018,Western,Kalabo,14299
102,1/1/2018,Western,Kaoma,19878
103,1/1/2018,Western,Limulunga,8152
104,1/1/2018,Western,Luampa,10397
105,1/1/2018,Western,Lukulu,12292
106,1/1/2018,Western,Mitete,4114
107,1/1/2018,Western,Mongu,15100
108,1/1/2018,Western,Mulobezi,1304
109,1/1/2018,Western,Mwandi,404
110,1/1/2018,Western,Nalolo,4053
111,1/1/2018,Western,Nkeyema,8030
112,1/1/2018,Western,Senanga,16278
113,1/1/2018,Western,Sesheke,1884
114,1/1/2018,Western,Shang'ombo,6252
115,1/1/2018,Western,Sikongo,6298
116,1/1/2018,Western,Sioma,7921
117,1/1/2018,NA,NA,63
118,2/1/2018,Central,Chibombo,2197
119,2/1/2018,Central,Chisamba,1730
120,2/1/2018,Central,Chitambo,4184
121,2/1/2018,Central,Itezhi-tezhi,1255
122,2/1/2018,Central,Kabwe,3304
123,2/1/2018,Central,Kapiri-Mposhi,23043
124,2/1/2018,Central,Luano,2326
125,2/1/2018,Central,Mkushi,6956
126,2/1/2018,Central,Mumbwa,1433
127,2/1/2018,Central,Ngabwe,667
128,2/1/2018,Central,Serenje,6050
129,2/1/2018,Central,Shibuyunji,276
130,2/1/2018,Copperbelt,Chililabombwe,4057
131,2/1/2018,Copperbelt,Chingola,9326
132,2/1/2018,Copperbelt,Kalulushi,7134
133,2/1/2018,Copperbelt,Kitwe,18566
134,2/1/2018,Copperbelt,Luanshya,9157
135,2/1/2018,Copperbelt,Lufwanyama,14554
136,2/1/2018,Copperbelt,Masaiti,14032
137,2/1/2018,Copperbelt,Mpongwe,14346
138,2/1/2018,Copperbelt,Mufulira,5090
139,2/1/2018,Copperbelt,Ndola,8511
140,2/1/2018,Eastern,Chadiza,4974
141,2/1/2018,Eastern,Chasefu,4070
142,2/1/2018,Eastern,Chipangali,7146
143,2/1/2018,Eastern,Chipata,6209
144,2/1/2018,Eastern,Kasenengwa,2169
145,2/1/2018,Eastern,Katete,3680
146,2/1/2018,Eastern,Lumezi,7481
147,2/1/2018,Eastern,Lundazi,5357
148,2/1/2018,Eastern,Lusangazi,2626
149,2/1/2018,Eastern,Mambwe,3934
150,2/1/2018,Eastern,Nyimba,2777
151,2/1/2018,Eastern,Petauke,2779
152,2/1/2018,Eastern,Sinda,2100
153,2/1/2018,Eastern,Vubwi,4110
154,2/1/2018,Luapula,Chembe,3350
155,2/1/2018,Luapula,Chienge,3003
156,2/1/2018,Luapula,Chifunabuli,3314
157,2/1/2018,Luapula,Chipili,1929
158,2/1/2018,Luapula,Kawambwa,2208
159,2/1/2018,Luapula,Lunga,747
160,2/1/2018,Luapula,Mansa,18033
161,2/1/2018,Luapula,Milenge,3348
162,2/1/2018,Luapula,Mwansabombwe,1530
163,2/1/2018,Luapula,Mwense,3760
164,2/1/2018,Luapula,Nchelenge,5150
165,2/1/2018,Luapula,Samfya,5384
166,2/1/2018,Lusaka,Chilanga,171
167,2/1/2018,Lusaka,Chirundu,246
168,2/1/2018,Lusaka,Chongwe,479
169,2/1/2018,Lusaka,Kafue,333
170,2/1/2018,Lusaka,Luangwa,475
171,2/1/2018,Lusaka,Lusaka,1689
172,2/1/2018,Lusaka,Rufunsa,2217
173,2/1/2018,Muchinga,Chama,5128
174,2/1/2018,Muchinga,Chinsali,4243
175,2/1/2018,Muchinga,Isoka,3626
176,2/1/2018,Muchinga,Kanchibiya,5706
177,2/1/2018,Muchinga,Lavushimanda,2402
178,2/1/2018,Muchinga,Mafinga,3005
179,2/1/2018,Muchinga,Mpika,6591
180,2/1/2018,Muchinga,Nakonde,850
181,2/1/2018,Muchinga,Shiwang'andu,3250
182,2/1/2018,Northern,Chilubi,3275
183,2/1/2018,Northern,Kaputa,1411
184,2/1/2018,Northern,Kasama,10024
185,2/1/2018,Northern,Lunte,1522
186,2/1/2018,Northern,Lupososhi,1142
187,2/1/2018,Northern,Luwingu,3137
188,2/1/2018,Northern,Mbala,2670
189,2/1/2018,Northern,Mporokoso,829
190,2/1/2018,Northern,Mpulungu,1881
191,2/1/2018,Northern,Mungwi,6946
192,2/1/2018,Northern,Nsama,568
193,2/1/2018,Northern,Senga,3457
194,2/1/2018,Northwestern,Chavuma,4591
195,2/1/2018,Northwestern,Ikelenge,5447
196,2/1/2018,Northwestern,Kabompo,5226
197,2/1/2018,Northwestern,Kalumbila,9519
198,2/1/2018,Northwestern,Kasempa,9837
199,2/1/2018,Northwestern,Manyinga,5112
200,2/1/2018,Northwestern,Mufumbwe,5088
201,2/1/2018,Northwestern,Mushindamo,4918
202,2/1/2018,Northwestern,Mwinilunga,8141
203,2/1/2018,Northwestern,Solwezi,16525
204,2/1/2018,Northwestern,Zambezi,9544
205,2/1/2018,Southern,Chikankata,83
206,2/1/2018,Southern,Choma,98
207,2/1/2018,Southern,Gwembe,1648
208,2/1/2018,Southern,Kalomo,235
209,2/1/2018,Southern,Kazungula,159
210,2/1/2018,Southern,Livingstone,32
211,2/1/2018,Southern,Mazabuka,54
212,2/1/2018,Southern,Monze,91
