,provive,District,2020 pop
1,Central,Chibombo,513965.5
2,Central,Chisamba,211248.75
3,Central,Chitambo,141698.2969
4,Central,Itezhi-tezhi,158816.875
5,Central,Kabwe,292503
6,Central,Kapiri-Mposhi,338920
7,Central,Luano,67056.1875
8,Central,Mkushi,238477.2188
9,Central,Mumbwa,302964.5313
10,Central,Ngabwe,52814.09375
11,Central,Serenje,152579.0781
12,Central,Shibuyunji,82079.375
13,Copperbelt,Chililabombwe,106499.375
14,Copperbelt,Chingola,226902.625
15,Copperbelt,Kalulushi,135854.7813
16,Copperbelt,Kitwe,458736.2188
17,Copperbelt,Luanshya,170751.8438
18,Copperbelt,Lufwanyama,162097.4375
19,Copperbelt,Masaiti,183040.1875
20,Copperbelt,Mpongwe,168097.3594
21,Copperbelt,Mufulira,190355.9219
22,Copperbelt,Ndola,452313.1563
23,Eastern,Chadiza,87921.94531
24,Eastern,Chasefu,84133.35156
25,Eastern,Chipangali,133419.8281
26,Eastern,Chipata,236634.4219
27,Eastern,Kasenengwa,132333.6406
28,Eastern,Katete,177633.4531
29,Eastern,Lusangazi,77898.125
30,Eastern,Lumezi,118544.1641
31,Eastern,Lundazi,115984.1563
32,Eastern,Mambwe,81508.78125
33,Eastern,Nyimba,83644.24219
34,Eastern,Petauke,241443.6406
35,Eastern,Sinda,177167.3906
36,Eastern,Vubwi,37020.23047
37,Luapula,Chembe,30704.60156
38,Luapula,Chienge,169051.4688
39,Luapula,Chipili,48874.85938
40,Luapula,Kawambwa,138663.4375
41,Luapula,Lunga,31593.93555
42,Luapula,Mansa,271302.5938
43,Luapula,Milenge,57503.09766
44,Luapula,Mwansabombwe,54907.13672
45,Luapula,Mwense,108828.8672
46,Luapula,Nchelenge,161032.0313
47,Luapula,Samfya,135459.875
48,Luapula,Chifunabuli,98767.44531
49,Lusaka,Chilanga,244031.2344
50,Lusaka,Chirundu,71401.75
51,Lusaka,Chongwe,337449.4688
52,Lusaka,Kafue,241907.3906
53,Lusaka,Luangwa,37006.19922
54,Lusaka,Lusaka,2389815.75
55,Lusaka,Rufunsa,106124.9453
56,Muchinga,Chama,150378.2031
57,Muchinga,Chinsali,137886.0313
58,Muchinga,Isoka,118126.1328
59,Muchinga,Kanchibiya,79467.95313
60,Muchinga,Mpika,148235.6563
61,Muchinga,Nakonde,168056.4531
62,Muchinga,Shiwang'andu,87761.92188
63,Muchinga,Mafinga,123900.9219
64,Muchinga,Lavushimanda,62841.11328
65,Northern,Chilubi,107106.2422
66,Northern,Kaputa,92482.1875
67,Northern,Kasama,375986.1563
68,Northern,Lunte,101113.6953
69,Northern,Lupososhi,92058.78125
70,Northern,Luwingu,103981.0078
71,Northern,Mbala,174675.875
72,Northern,Mporokoso,54163.03906
73,Northern,Mpulungu,146013.9531
74,Northern,Mungwi,179343.9531
75,Northern,Nsama,67026.73438
76,Northern,Senga,181282.9688
77,Northwestern,Chavuma,40941.14063
78,Northwestern,Ikelenge,45870.40625
79,Northwestern,Kabompo,61824.52344
80,Northwestern,Kalumbila,156905.9531
81,Northwestern,Kasempa,118133.6484
82,Northwestern,Manyinga,67375.28906
83,Northwestern,Mufumbwe,85814.40625
84,Northwestern,Mushindamo,61512.64453
85,Northwestern,Mwinilunga,107900.7969
86,Northwestern,Solwezi,269249.125
87,Northwestern,Zambezi,96325.78125
88,Southern,Chikankata,114048.4219
89,Southern,Choma,247608.5313
90,Southern,Gwembe,77521.48438
91,Southern,Kalomo,237247.6094
92,Southern,Kazungula,162234.1406
93,Southern,Livingstone,110095.6328
94,Southern,Mazabuka,163914.8125
95,Southern,Monze,224233.1563
96,Southern,Namwala,142577.625
97,Southern,Pemba,91112.5625
98,Western,Siavonga,56421.33203
99,Southern,Sinazongwe,118237.6563
100,Southern,Zimba,91721.875
101,Western,Kalaba,103293.1406
102,Western,Kaoma,150965.9219
103,Western,Limulunga,56695.67188
104,Western,Luampa,58679.96094
105,Western,Lukulu,81023.49219
106,Western,Mitete,33673.07031
107,Western,Mongu,189030.5469
108,Western,Mulobezi,54581.34375
109,Western,Mwandi,50516.83203
110,Western,Nalolo,69251.94531
111,Western,Nkeyema,118883.8047
112,Western,Senanga,103601.3125
113,Western,Sesheke,59849.41797
114,Western,Shang'ombo,83905.03906
115,Western,Sikongo,58700.12109
116,Western,Sioma,77282.84375
117,Western,Test,NA
