region,zone,woreda,year,population
Somali,Shabelle,Aba-Korow,2020,29584
Somali,Shabelle,Aba-Korow,2018,27724
Somali,Shabelle,Aba-Korow,2019,28639
Somali,Shabelle,Aba-Korow,2021,30560
Somali,Shabelle,Aba-Korow,2022,31569
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2020,48069
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2018,45047
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2019,46533
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2021,49655
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2022,51294
Oromia,Horo Gudru Wellega,Ababo,2020,62143
Oromia,Horo Gudru Wellega,Ababo,2018,58236
Oromia,Horo Gudru Wellega,Ababo,2019,60158
Oromia,Horo Gudru Wellega,Ababo,2021,64194
Oromia,Horo Gudru Wellega,Ababo,2022,66312
Harari,Harari,Abadir,2020,105799
Harari,Harari,Abadir,2018,99147
Harari,Harari,Abadir,2019,102419
Harari,Harari,Abadir,2021,109290
Harari,Harari,Abadir,2022,112897
Oromia,Horo Gudru Wellega,Abay Chomen,2020,67945
Oromia,Horo Gudru Wellega,Abay Chomen,2018,63673
Oromia,Horo Gudru Wellega,Abay Chomen,2019,65774
Oromia,Horo Gudru Wellega,Abay Chomen,2021,70187
Oromia,Horo Gudru Wellega,Abay Chomen,2022,72503
Oromia,West Guji,Abaya,2020,141495
Oromia,West Guji,Abaya,2018,132599
Oromia,West Guji,Abaya,2019,136975
Oromia,West Guji,Abaya,2021,146164
Oromia,West Guji,Abaya,2022,150988
Amhara,West Gondar,Abderafi Town,2020,25893
Amhara,West Gondar,Abderafi Town,2018,24265
Amhara,West Gondar,Abderafi Town,2019,25066
Amhara,West Gondar,Abderafi Town,2021,26747
Amhara,West Gondar,Abderafi Town,2022,27630
Oromia,Horo Gudru Wellega,Abe Dongoro,2020,91645
Oromia,Horo Gudru Wellega,Abe Dongoro,2018,85883
Oromia,Horo Gudru Wellega,Abe Dongoro,2019,88717
Oromia,Horo Gudru Wellega,Abe Dongoro,2021,94669
Oromia,Horo Gudru Wellega,Abe Dongoro,2022,97793
Amhara,Wag Hamra,Abergele,2020,49007
Amhara,Wag Hamra,Abergele,2018,45926
Amhara,Wag Hamra,Abergele,2019,47441
Amhara,Wag Hamra,Abergele,2021,50624
Amhara,Wag Hamra,Abergele,2022,52295
SNNP,Guraghe,Abeshege,2020,75336
SNNP,Guraghe,Abeshege,2018,70600
SNNP,Guraghe,Abeshege,2019,72929
SNNP,Guraghe,Abeshege,2021,77822
SNNP,Guraghe,Abeshege,2022,80390
Tigray,Central,Abi Adi Town,2020,27159
